# l [deg], b [deg], Radius [arcmin]
2.276179166071768023e+01,-4.829550416536776414e-01,5.000000000000000000e+00
1.904106893161237934e+01,-4.289415735407402508e-01,5.000000000000000000e+00
1.892567554300228494e+01,-4.440969794418573313e-01,5.000000000000000000e+00
1.818770289959721964e+01,-3.975252158298209770e-01,5.000000000000000000e+00
1.830091834417110519e+01,-3.884800322828260155e-01,5.000000000000000000e+00
2.829576589175589518e+01,-3.787882294504075209e-01,5.000000000000000000e+00
2.859422581071237701e+01,-3.670892433910123986e-01,5.000000000000000000e+00
2.298466380664716979e+01,-3.593981911493049908e-01,5.000000000000000000e+00
2.538138300493922728e+01,-3.442733739024399497e-01,5.000000000000000000e+00
2.527336025452033041e+01,-3.074784384084893185e-01,5.000000000000000000e+00
2.324794511350047443e+01,-2.852880324014853697e-01,5.000000000000000000e+00
2.295218055491922371e+01,-3.319116931200097320e-01,5.000000000000000000e+00
1.825892883785231291e+01,-2.977432365240122447e-01,5.000000000000000000e+00
1.814596318521100926e+01,-2.857045361516479809e-01,5.000000000000000000e+00
3.049818836528697474e+01,-2.756649996332495300e-01,5.000000000000000000e+00
1.906956489038809366e+01,-2.737389390986861293e-01,5.000000000000000000e+00
3.069917039724821706e+01,-2.665860329281091734e-01,5.000000000000000000e+00
3.141809256487429991e+01,-2.556144425006390275e-01,5.000000000000000000e+00
2.276731523599885776e+01,-2.574192354085332313e-01,5.000000000000000000e+00
3.039741452154798296e+01,-2.422640099810846881e-01,5.000000000000000000e+00
2.324060855313786789e+01,-2.533588332248701835e-01,5.000000000000000000e+00
1.960895587079495428e+01,-2.339847226485287091e-01,5.000000000000000000e+00
2.882325360849467444e+01,-2.280585108741879363e-01,5.000000000000000000e+00
2.452469651197237965e+01,-2.353306012229977318e-01,5.000000000000000000e+00
1.822378382657429796e+01,-2.306934303915070261e-01,5.000000000000000000e+00
3.227435747329178639e+01,-2.126917745851028552e-01,5.000000000000000000e+00
