#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G010.3009-00.1477,010.30088,-00.14770,272.23311,-20.09871,00.14,00.14,00056.37,00005.04,00631.39,00059.30,05.452,00.007,05.2,,,,,,,00.87,0.043,0064.1,P,0,1,0,1,1,0,1,0,0
G010.3204-00.2328,010.32038,-00.23281,272.32303,-20.12308,01.09,01.08,00008.02,00000.84,00032.43,00005.00,03.233,00.044,02.9,,,,,,,00.64,0.011,0011.7,P,0,0,0,1,0,0,1,0,0
G010.3204-00.2586,010.32042,-00.25857,272.34701,-20.13525,00.11,00.12,00014.61,00001.50,00018.20,00002.26,01.674,00.069,,01.869,00.118,01.500,00.079,175.565,08.953,00.71,-0.117,0020.7,G,0,0,0,1,0,0,0,0,0
G010.4724+00.0275,010.47236,+00.02750,272.15907,-19.86382,00.56,00.54,00022.34,00002.01,00038.43,00004.38,02.243,00.018,01.7,,,,,,,00.41,-0.010,0053.2,P,0,1,0,0,1,0,0,1,0
G010.4736+00.0274,010.47363,+00.02744,272.15965,-19.86267,00.90,00.93,00012.30,00001.14,00019.30,00002.39,02.028,00.025,01.4,,,,,,,00.41,-0.002,0028.8,P,0,1,0,0,1,0,0,1,0
G010.6218-00.3848,010.62180,-00.38476,272.61978,-19.93235,00.73,00.66,00016.81,00001.58,00037.06,00004.04,02.292,00.021,01.7,,,,,,,00.64,-0.096,0025.1,P,0,1,0,1,1,0,1,1,0
G010.6223-00.3788,010.62231,-00.37877,272.61473,-19.92937,00.16,00.15,00097.90,00008.72,00483.33,00049.87,05.758,00.013,05.6,,,,,,,00.61,-0.013,0158.9,P,0,1,0,1,1,0,1,1,0
G010.6234-00.3837,010.62340,-00.38369,272.61960,-19.93031,00.10,00.10,00305.58,00027.20,01952.22,00176.18,04.638,00.002,04.4,,,,,,,00.64,-0.078,0477.1,P,0,1,0,1,1,0,1,1,0
G010.6240-00.3813,010.62398,-00.38128,272.61745,-19.92877,00.44,00.43,00038.23,00003.44,00071.65,00007.24,02.083,00.012,01.4,,,,,,,00.63,-0.051,0059.6,P,0,1,0,1,1,0,1,1,0
G010.6297-00.3380,010.62969,-00.33799,272.58012,-19.90292,00.24,00.34,00004.98,00000.71,00026.39,00004.29,03.453,00.310,03.1,04.124,00.552,02.892,00.346,164.642,13.199,00.55,0.025,0008.5,G,0,0,0,1,1,0,1,0,0
G010.8519-00.4407,010.85191,-00.44070,272.78970,-19.75779,00.12,00.12,00007.50,00000.81,00011.09,00001.46,01.825,00.087,01.0,01.884,00.130,01.767,00.116,31.372,39.443,00.43,-0.017,0016.3,G,0,0,0,0,0,0,0,0,0
G010.9584+00.0221,010.95839,+00.02206,272.41410,-19.44110,00.16,00.16,00109.11,00009.72,00195.97,00018.33,02.201,00.004,01.6,,,,,,,00.40,0.040,0269.8,P,0,0,0,0,1,0,0,0,1
G010.9656+00.0089,010.96557,+00.00889,272.42943,-19.44128,00.54,00.52,00007.86,00000.74,00051.75,00006.10,04.883,00.030,04.6,,,,,,,00.44,-0.052,0017.0,P,0,0,0,0,1,0,1,0,1
G011.0328+00.0274,011.03283,+00.02738,272.44730,-19.37342,00.15,00.19,00003.58,00000.49,00005.69,00001.06,01.891,00.155,01.2,02.236,00.290,01.599,00.161,153.839,11.698,00.34,-0.009,0009.8,G,0,0,0,0,1,0,1,0,0
G011.1104-00.3985,011.11043,-00.39851,272.88328,-19.51157,00.13,00.13,00051.55,00004.59,00305.37,00028.55,08.355,00.010,08.2,,,,,,,00.38,-0.046,0135.0,P,0,0,0,0,0,0,0,0,0
G011.1712-00.0662,011.17121,-00.06621,272.60463,-19.29652,00.35,00.36,00003.54,00000.33,00102.17,00012.73,10.747,00.044,10.6,,,,,,,00.42,-0.045,0007.6,P,0,0,0,0,0,0,0,0,0
G011.9032-00.1407,011.90321,-00.14074,273.04691,-18.69187,00.19,00.19,00005.59,00000.65,00025.57,00003.30,03.208,00.192,02.8,03.494,00.304,02.946,00.242,139.238,18.816,00.43,0.012,0013.9,G,0,1,0,0,0,0,1,1,0
G011.9039-00.1411,011.90393,-00.14108,273.04760,-18.69140,00.11,00.11,00011.11,00001.10,00016.81,00001.88,01.845,00.064,01.1,01.855,00.092,01.835,00.090,150.497,90.000,00.43,0.032,0025.3,G,0,1,0,0,0,0,1,1,0
G011.9368-00.6158,011.93677,-00.61577,273.50458,-18.88987,00.10,00.10,00163.93,00014.59,01155.90,00105.38,05.886,00.003,05.7,,,,,,,00.35,-0.001,0470.9,P,0,0,0,0,1,0,1,0,0
G011.9446-00.0369,011.94458,-00.03686,272.97191,-18.60485,00.11,00.12,00061.58,00005.48,00943.58,00098.50,14.640,00.014,14.6,,,,,,,00.46,-0.020,0134.3,P,0,0,0,1,0,0,1,0,0
